"","GEO.NAME","GEO.CODE","tech","V1","V2","V3"
"292","Williams Lake","59950","Tech Occupation",135,110,10
"293","Quesnel","59952","Non Tech Occupation",11825,6435,5140
"294","Quesnel","59952","Tech Occupation",115,70,30
"295","Prince Rupert","59955","Non Tech Occupation",6995,3490,3150
"296","Prince Rupert","59955","Tech Occupation",75,40,10
"297","Kitimat","59960","Non Tech Occupation",4605,2570,1820
"298","Kitimat","59960","Tech Occupation",65,50,10
"299","Terrace","59965","Non Tech Occupation",9325,4730,4375
"300","Terrace","59965","Tech Occupation",140,95,35
"301","Prince George","59970","Non Tech Occupation",46480,24455,21975
"302","Prince George","59970","Tech Occupation",985,735,230
"303","Dawson Creek","59975","Non Tech Occupation",6095,3065,2785
"304","Dawson Creek","59975","Tech Occupation",70,35,25
"305","Fort St. John","59977","Non Tech Occupation",15420,8500,6700
"306","Fort St. John","59977","Tech Occupation",275,240,10
"307","Yukon Territory / Territoire du Yukon","60","Non Tech Occupation",18445,9075,9050
"308","Yukon Territory / Territoire du Yukon","60","Tech Occupation",530,395,150
"309","Whitehorse","60990","Non Tech Occupation",13805,6625,6970
"310","Whitehorse","60990","Tech Occupation",495,340,105
"311","Northwest Territories / Territoires du Nord-Ouest","61","Non Tech Occupation",22695,11885,10730
"312","Northwest Territories / Territoires du Nord-Ouest","61","Tech Occupation",745,560,135
"313","Yellowknife","61995","Non Tech Occupation",11555,5865,5515
"314","Yellowknife","61995","Tech Occupation",530,420,95
"315","Nunavut","62","Non Tech Occupation",11910,6120,5545
"316","Nunavut","62","Tech Occupation",195,145,30
