"","GEO.NAME","ALT.GEO.CODE","EDUC15","EDUC15.ID","tech","V1","V2","pct","dum"
"243","Joliette","24456","Apprenticeship or trades
certificate or diploma",5,1,50,70,13.0841121495327,0
"244","Joliette","24456","College, CEGEP or other non-
university certificate or
diploma",8,1,145,140,26.1682242990654,0
"245","Joliette","24456","University certificate or
diploma below bachelor level",9,1,20,30,5.60747663551402,0
"246","Joliette","24456","University certificate,
diploma or degree at bachelor
level or above",10,1,230,210,39.2523364485981,0
"247","Montréal","24462","No certificate, diploma or
degree",2,1,1000,965,0.712861047499446,0
"248","Montréal","24462","Secondary (high) school
diploma or equivalency
certificate",3,1,9585,9180,6.78141390263722,0
"249","Montréal","24462","Apprenticeship or trades
certificate or diploma",5,1,7575,7265,5.3667725493093,0
"250","Montréal","24462","College, CEGEP or other non-
university certificate or
diploma",8,1,33535,32420,23.9491763315358,0
"251","Montréal","24462","University certificate or
diploma below bachelor level",9,1,6495,6280,4.63913717958189,0
"252","Montréal","24462","University certificate,
diploma or degree at bachelor
level or above",10,1,82005,79260,58.5506389894364,0
"253","Salaberry-de-Valleyfield","24465","No certificate, diploma or
degree",2,1,0,0,0,0
"254","Salaberry-de-Valleyfield","24465","Secondary (high) school
diploma or equivalency
certificate",3,1,30,50,12.1951219512195,0
"255","Salaberry-de-Valleyfield","24465","Apprenticeship or trades
certificate or diploma",5,1,30,30,7.31707317073171,0
"256","Salaberry-de-Valleyfield","24465","College, CEGEP or other non-
university certificate or
diploma",8,1,190,165,40.2439024390244,0
"257","Salaberry-de-Valleyfield","24465","University certificate or
diploma below bachelor level",9,1,10,20,4.8780487804878,0
"258","Salaberry-de-Valleyfield","24465","University certificate,
diploma or degree at bachelor
level or above",10,1,135,145,35.3658536585366,0
"259","Lachute","24468","No certificate, diploma or
degree",2,1,0,0,0,0
"260","Lachute","24468","Secondary (high) school
diploma or equivalency
certificate",3,1,0,0,0,0
"261","Lachute","24468","Apprenticeship or trades
certificate or diploma",5,1,10,30,37.5,0
"262","Lachute","24468","College, CEGEP or other non-
university certificate or
diploma",8,1,10,30,37.5,0
"263","Lachute","24468","University certificate or
diploma below bachelor level",9,1,10,10,12.5,0
"264","Lachute","24468","University certificate,
diploma or degree at bachelor
level or above",10,1,10,10,12.5,0
"265","Val-d'Or","24480","No certificate, diploma or
degree",2,1,10,0,0,0
"266","Val-d'Or","24480","Secondary (high) school
diploma or equivalency
certificate",3,1,95,60,12.3711340206186,0
"267","Val-d'Or","24480","Apprenticeship or trades
certificate or diploma",5,1,50,40,8.24742268041237,0
"268","Val-d'Or","24480","College, CEGEP or other non-
university certificate or
diploma",8,1,140,160,32.9896907216495,0
"269","Val-d'Or","24480","University certificate or
diploma below bachelor level",9,1,40,30,6.18556701030928,0
"270","Val-d'Or","24480","University certificate,
diploma or degree at bachelor
level or above",10,1,225,195,40.2061855670103,0
"271","Rouyn-Noranda","24485","No certificate, diploma or
degree",2,1,0,10,1.61290322580645,0
